       Name:	Michael Villarreal
     Course:	Programming Fundamentals I
 Assignment:	Lab 07
  Generated:	2023-11-26 16:17



 #     unsorted
-- ------------
 1  94314....96
 2  11245...100
 3   1246....57
 4  22115....87
 5  29163....64
 6  84164....96
 7  36195....50
 8  71326....35
 9  93214....85
10  61215....75
11  23461....78
12  25617....95
13  73114....74
14  21001....60
15  19816....77
16  18138....83
17  84201....94
18  16162....97
19  24067....68
20  39021....72


 #       sorted
-- ------------
 1   1246....57
 2  11245...100
 3  16162....97
 4  18138....83
 5  19816....77
 6  21001....60
 7  22115....87
 8  23461....78
 9  24067....68
10  25617....95
11  29163....64
12  36195....50
13  39021....72
14  61215....75
15  71326....35
16  73114....74
17  84164....96
18  84201....94
19  93214....85
20  94314....96


 #      updated
-- ------------
 1   1246....57
 2  11245...100
 3  16162....97
 4  18138....83
 5  19816....77
 6  21001....75
 7  22115....87
 8  23461....78
 9  24067....68
10  25617....95
11  29163....64
12  36195....70
13  39021....72
14  61215....85
15  71326....65
16  73114....74
17  84164....96
18  84201....75
19  93214....85
20  94314....96

